,date,pv,tid,ae_slope,ae_max,varea,u_nh,u_slope,sym_h,k_winds,sme,airs,xrsb_flux,T_hr,amplitude_km,is_lstid
0,1/1/2017,1.338138287,0,0,464.6666667,33.656567,52.11216,0,-19.53819444,0,286.4076389,0.117922,0,1.5727128591586288,16.83855431085515,FALSE
1,1/2/2017,1.362146131,9,-244,463.75,34.37322,59.9955,7.88334,-17.28472222,0,224.0333333,0.12123,0,2.685989997312127,49.90498881487445,TRUE
2,1/3/2017,1.309619341,9,91,519.25,34.83003,62.00478,2.00928,-13.97916667,0,249.2763889,0.140051,0,2.5765469918043276,64.22816011412438,TRUE
3,1/4/2017,1.12714891,0,102,765.3333333,34.022686,70.64939,8.64461,-9.715277778,0,231.93125,0.14717,0,1.3497730363986593,7.122878517196729,FALSE
4,1/5/2017,0.994739072,4,-61,620.5833333,32.56623,73.907326,3.257936,-14.22569445,0,353.2833333,0.177134,0,2.5375593272397188,42.390322946938376,TRUE
5,1/6/2017,0.887682918,7,63,521.0833333,13.645418,73.5489,-0.358426,-21.10763889,0,335.1277778,0.205134,0,3.0431648183990743,50.142208622394904,TRUE
6,1/7/2017,0.705367546,0,287,796.1666667,16.760445,68.81045,-4.73845,-18.58333333,0,376.8659722,0.126531,0,3.3156171221462527,41.03814541319228,TRUE
7,1/8/2017,0.545985075,0,-171,641.9166667,15.216007,65.261185,-3.549265,-22.14583333,0,344.85,0.16732,0,1.9075201954046415,33.85396150118145,TRUE
8,1/9/2017,0.459512377,0,-216,612.75,13.848161,72.49391,7.232725,-21.74305555,0,273.2548611,0.155272,0,1.3927478378308777,24.59481471722061,TRUE
9,1/10/2017,0.234003463,0,-45,622.3333333,21.99493,66.09818,-6.39573,-18.47916667,0,249.61875,0.133772,0,2.0082906254172563,26.272167959762125,TRUE
10,1/11/2017,0.304720348,0,-193,283.4166667,19.755283,62.91856,-3.17962,-14.63194444,0,170.3013889,0.0966658,0,2.275155942490551,39.13881384123535,TRUE
11,1/12/2017,0.507115824,0,-315,167.5833333,15.575591,58.89711,-4.02145,-6.6875,0,129.3965278,0.0695471,0,3.1884092547980414,28.523450688743747,TRUE
12,1/13/2017,0.644716074,0,-20,165.3333333,17.14246,52.12406,-6.77305,-3.048611111,0,129.7541667,0.0278653,0,4.461069524815375,30.27479785436312,TRUE
